epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1081.18,1.32716,4.34804,1.44261,0.51826,0.09901,0.06456,0.05243,0.9772,3.88779,1.24458,9.73288e-05,9.73288e-05,9.73288e-05
2,1580.09,1.28216,3.70859,1.3658,0.44408,0.23814,0.16717,0.12861,1.02297,3.45827,1.28356,0.000175991,0.000175991,0.000175991
3,2256.87,1.3077,3.34863,1.38623,0.22865,0.40695,0.26255,0.20746,0.99564,2.9899,1.26463,0.00023525,0.00023525,0.00023525
4,2722.83,1.30334,3.02341,1.37807,0.3105,0.29202,0.24233,0.18596,1.02796,2.92377,1.31035,0.000206682,0.000206682,0.000206682
5,3210.02,1.27653,2.84841,1.36591,0.32372,0.44671,0.33917,0.26464,0.99804,2.61641,1.28032,0.000177576,0.000177576,0.000177576
6,1036.91,1.25784,2.68926,1.34458,0.34721,0.35384,0.34796,0.27172,0.96322,2.5301,1.25455,0.00014847,0.00014847,0.00014847
7,625.312,1.12866,2.33136,1.26031,0.35632,0.41758,0.38769,0.3028,0.96717,2.46238,1.22927,0.000119364,0.000119364,0.000119364
8,1368,1.21989,2.45715,1.32401,0.30576,0.53599,0.43907,0.34468,0.96768,2.22779,1.24612,9.0258e-05,9.0258e-05,9.0258e-05
9,1935.25,1.18618,2.3851,1.29517,0.45635,0.45415,0.44253,0.35865,0.9419,2.20286,1.23249,6.1152e-05,6.1152e-05,6.1152e-05
10,2787.71,1.184,2.31379,1.29879,0.36323,0.50365,0.46829,0.37351,0.95226,2.14141,1.23434,3.2046e-05,3.2046e-05,3.2046e-05
